detect_clones_time, total_comparision, num_clones_detected
2543642,4.97916E+11,8864
2529311,4.97916E+11,8864
2589890,4.97916E+11,8864
2541017,4.97916E+11,8864
2544191,4.97916E+11,8864
,,
2549610.2,4.97916E+11,8864
