sort_time, detect_clones_time, token_comparision_filter, token_comparision ,total_comparision,num_clones_detected,candidateCumulativeTime
574,550701,3407711706,11258544555,14666256261,13840,469401
588,593552,3407711706,11258544555,14666256261,13840,513545
585,597359,3407711706,11258544555,14666256261,13840,515187
586,601510,3407711706,11258544555,14666256261,13840,522067
591,594420,3407711706,11258544555,14666256261,13840,514768
584.8,587508.4,3407711706,11258544555,14666256261,13840,506993.6
