sort_time, detect_clones_time, token_comparision_filter, token_comparision ,total_comparision,num_clones_detected,candidateCumulativeTime
201,9509,64382074,294899808,359281882,412,7444
196,9504,64382074,294899808,359281882,412,7355
199,9519,64382074,294899808,359281882,412,7424
199,9498,64382074,294899808,359281882,412,7431
201,9423,64382074,294899808,359281882,412,7296
,,,,,,
199.2,9490.6,64382074,294899808,359281882,412,7390
