sort_time, detect_clones_time, token_comparision_filter, token_comparision ,total_comparision,num_clones_detected,candidateCumulativeTime
282,44049,314957628,939293911,1254251539,1174,37319
380,45243,314957628,939293911,1254251539,1174,38436
412,41540,314957628,939293911,1254251539,1174,35197
281,41382,314957628,939293911,1254251539,1174,34919
275,40736,314957628,939293911,1254251539,1174,34309
,,,,,,
326,42590,314957628,939293911,1254251539,1174,36036
